codigo_contrato,codigo_expediente,proveedor,titulo_contrato,descripcion,contract_type,work_category_id,tipo_contratacion,tipo_expediente,importe,moneda,fecha,fecha_fin,project_code,ff_fecha_inicio,ff_fecha_fin
1318409,1243844,Edificadora Veracruzana Arrecife Sa de Cv,Io-009000938-E226-2016,"Reconstrucción de la Base Hidráulica, Carpeta Asfáltica Con Mezcla En Caliente y Obras de Drenaje En el Camino: Gutiérrez Zamora - Escalanar, delKm 0+000 Al Km 5+000, Con Una Meta de 5.0 Km., En el Municipio de Chiconquiaco, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,7802956.11,MXN,2017-02-15 06:00:00.000000 +00:00,2017-08-14 04:59:00.000000 +00:00,tender_1117774,2017-02-15,2017-08-14
1339833,1239914,Jose Felix Herrera Garnica,"Trabajos de Conservación Rutinaria Anual 2017, En 127.7 Km. de la Red Básica","Trabajos de Conservación Rutinaria Anual 2017, En 127.7 Km. de la Red Básica, Km. 213+000 Al Km. 340+700, Tramo T. Infiernillo  Playa Azul, Carretera Carapan - Playa Azul, En el Estado de Michoacán.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,4293046.38,MXN,2017-02-15 06:00:00.000000 +00:00,2017-12-31 18:00:00.000000 +00:00,tender_1114087,2017-02-15,2017-12-31
1340404,1239942,Construcciones y Triturados delPacifico Sa de Cv,"Trabajos de Conservación Rutinaria Anual 2017, En 74.5 Km. de la Red","Trabajos de Conservación Rutinaria Anual 2017, En 74.5 Km. de la Red, (70.0) Km. de la Red Básica En Corredores, Km. 0+000 Al Km. 70+000, Tramo Carapan - Uruapan, Carretera Carapan - Playa Azul, de la Red Básica En (4.3) Km., Km. 0+000 Al Km. 1+700, Tramo Libramiento Paracho, Carretera Carapan -  Playa Azul y de la Red Básica En (0.2) Km., Km. 0+000 Al Km. 0+200, Tramo T. Carapan Poniente, Carretera Morelia-Guadalajara, En el Estado de Michoacán.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,2805868.62,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1114116,2017-02-15,2018-01-01
1340496,1239967,Constructora Feluxa Sa de Cv,"Trabajos de Conservación Rutinaria Anual 2017, En 137.4 Km., de la Red Básica","Trabajos de Conservación Rutinaria Anual 2017, En 137.4 Km., de la Red Básica, Km. 82+000 Al Km. 213+000, Tramo Uruapan - Entr. Infiernillo, Carretera Carapan - Playa Azul, En el Estado de Michoacán.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,4618462.15,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1114134,2017-02-15,2018-01-01
1338754,1239853,Jose Felix Herrera Garnica,"Trabajos de Conservación Rutinaria Anual 2017, 150.4 Km. En la Red Federal","Trabajos de Conservación Rutinaria Anual 2017, 150.4 Km. En la Red, En (100) Km., Red Básica, Km. 0+000 Al Km. 100+000, Tramo Playa Azul  Lím. Mich./Col., Carretera Playa Azul  Manzanillo, (23.1), Km.102+000 Al Km. 123+600, Tramo Lím. Gro./Mich.  la Mira, (8.0), Km. 0+000 Al Km. 4+000, (Cpo. A y B), Tramo Acceso a Lázaro Cárdenas, Carretera Zihuatanejo  Playa Azul, (19.3) Km., Red Básica, Libramiento Sicartsa, Km. 0+000 Al Km.  9+000, Libramiento Guacamayas, Km. 0+000 Al Km. 2+700, Acceso Al Km. Puerto Industrial Lázaro Cárdenas delKm. 0+000 Al Km. 1+000, Km. 0+000 Al Km. 1+200 delEntr. la Orilla, y Km. 0+000 Al Km. 0+500, Gasas de Entr. la Orilla, Tramo Lím. Gro./Mich.,  la Mira, Carretera Zihuatanejo - Playa Azul, En el Estado de Michoacán.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,5055871.27,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1114029,2017-02-15,2018-01-01
1338783,1239882,Arrendadora de Maquinaria E Infraestructuras Sa de Cv,"Trabajos de Conservación Rutinaria Anual 2017, En 129.6 Km.,De la Red Básica","Trabajos de Conservación Rutinaria Anual 2017, En 129.6 Km.,De la Red Básica, Km. 100+000 Al Km. 229+600, Tramo Playa Azul  Lím. Mich./Col., Carretera Playa Azul - Manzanillo, En el Estado de Michoacán.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,4356136.93,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1114059,2017-02-15,2018-01-01
1321584,1240928,Proyobson Sc de Rl de Cv,Conservación R.P. (63 Puentes Secundaria 63 Puentes) Hillo-Moctezuma-Agua Prieta,"Conservación Rutinaria de Puentes (63 Puentes: Secundaria 63 Puentes), Tramo: Hermosillo - Moctezuma- Agua Prieta, Tramo: Hermosillo - Moctezuma, delKm. 0+000 Al Km. 132+000, Hermosillo - Moctezuma - Agua Prieta, Tramo: Hermosillo - Moctezuma, delKm. 132+000 Al Km. 165+000; Libramiento Moctezuma delKm. 0+000 Al Km. 1+800 y Tramo: Moctezuma - Cumpas, delKm. 0+000 Al Km. 30+000, y Ramal a Nacozari delKm. 0+000 Al Km. 0+900, Hermosillo - Moctezuma - Agua Prieta, Tramo: Moctezuma - Cumpas, delKm. 30+000 Al Km. 120+000, Ramal a Benjamín Hill delKm. 0+000 Al Km. 2+000, Ramal a Carbó delKm. 0+000 Al Km. 7+175 , Aeropuerto Nogales delKm. 0+000 Al Km. 0+200, En el Estado de Sonora.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,939427.0,MXN,2017-02-15 16:00:00.000000 +00:00,2017-12-16 07:59:00.000000 +00:00,tender_1115032,2017-02-15,2017-12-16
1321661,1240958,Manuel Castellon Anaya,Conservación R.P. (60 Puentes Secundaria 20 Básica 40 Puentes) Janos-Agua Prieta,"Conservación Rutinaria de Puentes (60 Puentes: Secundaria 20, Básica 40 Puentes), Tramo: Janos - Agua Prieta, Tramo: delKm. 78+000 Al Km. 156+100, Hermosillo - Moctezuma - Agua Prieta, Tramos: Moctezuma - Agua Prieta, Km. 120+000 Al Km. 193+725, Agua Prieta - Imuris, Tramo: Agua Prieta - Cananea, delKm. 0+000 Al Km. 38+000 y Ramal a Naco Km. 0+000 Al Km. 14+700, Agua Prieta - Imuris ""A"" y ""B"" Km. 0+000 Al Km. 1+100, Agua Prieta - Imuris, Km. 1+100 Al Km. 1+600, Agua Prieta - Imuris ""A"" y ""B"" Km. 1+600 Al Km. 14+000, Agua Prieta - Imuris ""A"" y ""B"", Tramo: Agua Prieta - Cananea, delKm. 38+000 Al Km. 79+800 y Km. 57+000 Al Km. 79+800, En el Estado de Sonora",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,887907.92,MXN,2017-02-15 16:00:00.000000 +00:00,2017-12-16 07:59:00.000000 +00:00,tender_1115058,2017-02-15,2017-12-16
1348181,1249549,Centro de Impresion y  Diseño Sa de Cv,"Materiales de Administración, Utensilios y Emisión de Documentos","Adquisición de Materiales de Administración, Utensilios y Emisión de Documentos y Artículos Oficiales, de Los Diferentes Centros de Trabajo de la Delegacion Estatal delIssste En Durango.",1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,713693.08,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:49:00.000000 +00:00,tender_1123196,2017-02-15,2018-01-01
1318466,1243866,Inmobiliaria y Constructora Laconsa Sa de Cv,Io-009000938-E228-2016,"Reconstrucción de la Base Hidráulica y Carpeta Asfáltica En el Camino: Sierra de Agua - Ejido 20 de Noviembre, delKm 2+600 Al Km 6+000, Con Una Meta de 3.4 Km.,  En el Municipio de Perote, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,5073871.16,MXN,2017-02-15 06:00:00.000000 +00:00,2017-07-15 04:59:00.000000 +00:00,tender_1117796,2017-02-15,2017-07-15
